id,status,defect
М01,Работает,
М02,Предупреждение,Асимметрия фазных токов
М03,Не работает,Обрыв стержней ротора
М04,Работает,
М05,Предупреждение,Эксцентриситет воздушного зазора
М06,Не работает,Дефект сепаратора
М07,Работает,
М08,Работает,
М09,Работает,
М10,Не работает,Дефект сепаратора
М11,Предупреждение,Ослабление соединительной муфты
М12,Не работает,Короткое замыкание (КЗ)
М13,Работает,
М14,Работает,
М15,Не работает,Дефект внешней дорожки
М16,Работает,
М17,Предупреждение,Асимметрия ротора
М18,Работает,
М19,Работает,
М20,Работает,
М21,Работает,
М22,Предупреждение,Асимметрия фазных токов
М23,Работает,
М24,Работает,
М25,Работает,
М26,Работает,
М27,Работает,
М28,Предупреждение,Эксцентриситет воздушного зазора
М29,Работает,
М30,Работает,
М31,Работает,
М32,Работает,
М33,Работает,
М34,Работает,
М35,Работает,
М36,Работает,
М37,Работает,
М38,Предупреждение,Ослабление соединительной муфты
М39,Работает,
М40,Работает,
М41,Работает,
М42,Работает,
